,Year 5,Year 4,Year 3,Year 2,Year 1
Total asset,274.184,279.407,241.095,340.5596,40.516
Diluted EPS,-2.19,-6.58,-9.28,-10.64,-9.04
Liability / assets,1.10472894,1.0071437,0.88344429,0.66408229,0.26103268
equity / assets,-0.10472894,-0.0071437,0.11655571,0.33591771,0.73896732
Cash / asset,0.17604237,0.1367038,0.28334889,0.46879313,0.70749827
Current ratio,2.24587782,2.3083547,4.58212393,5.76212191,2.8372387
Inventory / sales,0.1132814,0.30848067,0.60091491,1.80191746,0
Net debt/EBITDA,-7.26949448,-3.02694523,-1.28206483,-0.22848273,1.36952582
A/P / Sales,0.12832473,0.22538568,0.27307383,1.37307384,0.16823049
A/R / Sales,0.19405019,0.27142919,0.28662798,0.6386608,0.02836958
ROE,1.03963085,39.31713427,-3.15266361,-0.81530857,-0.99495658
ROA,-0.10887944,-0.28086984,-0.36746096,-0.27387658,-0.7352404
Sales/total assets,0.2916618,0.1651784,0.09792405,0.01941775,0.22359068
Net income margin,-0.37330716,-1.70040302,-3.75250964,-14.10444737,-3.28833205
EBIT/Sale,-0.47513411,-1.55830733,-3.75585582,-11.21007425,-2.47389337
EBITDA/Sale,-0.3519989,-1.40321113,-3.52666356,-10.39046409,-2.19295728
EBITDA/ Assets,-0.10266463,-0.23178016,-0.3453452,-0.2017594,-0.49032481
Total debt/ EBITDA,-8.98422679,-3.61674465,-2.10254501,-2.55200834,-0.07339172
WC/ Asset,0.15322192,0.14247317,0.32248699,0.45813244,0.46638365
Price to book ratio,-0.65217134,-34.35576152,6.2214939,2.40655245,3.28599866
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.67489035,-0.26776395,0.7085048,0.44071146,1.69866667
market cap based on Jun's data,169.2505,318.0673,428.8705,241.0278,123.0177
90-days stock vol,0.65002,0.39222,0.59548,0.49188,0.54097
Trading volume,1013.962594,1328.009311,2066.486844,939.0162978,130.0687674
Total asset,774.505,321.657,343.3799,190.9902,118.012
Diluted EPS,-0.04,-2.38,1.95,1.16,0.45
Liability / assets,0.43864016,0.51484967,0.44156516,0.21217476,0.30505372
equity / assets,0.56135984,0.48515033,0.55843484,0.78782524,0.69494628
Cash / asset,0.00924849,0.00646962,0.00194042,0.01187181,0.01124462
Current ratio,1.04373381,1.46661769,1.40273658,1.56299304,1.07023387
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,1.98852518,1.44276961,0.89767984,0.3876012,0.90746806
A/P / Sales,0.04384058,0.03293782,0.04512423,0.04869677,0.05108177
A/R / Sales,0.12494423,0.14779942,0.20235026,0.19775274,0.31503861
ROE,0.01511583,-0.26440545,0.17396286,0.10054836,0.05305321
ROA,0.00848542,-0.12827639,0.09714692,0.07921454,0.03686913
Sales/total assets,0.2257416,0.37311173,0.35951522,0.33774141,0.28747924
Net income margin,0.03758908,-0.34380156,0.27021644,0.23454197,0.12824972
EBIT/Sale,0.20264473,0.22404886,0.4352213,0.36929834,0.23881389
EBITDA/Sale,0.72723321,0.73298948,0.76100504,0.70923785,0.63900843
EBITDA/ Assets,0.16416679,0.27348698,0.27359289,0.23953899,0.18370166
Total debt/ EBITDA,2.04486111,1.46642567,0.90477219,0.43716229,0.96867937
WC/ Asset,0.00292058,0.03159266,0.03068642,0.0468956,0.00804156
Price to book ratio,0.38928207,2.03821354,2.23655096,1.60186593,1.49999634
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.4382762,0.27556436,0.17595007,1.16016097,9
market cap based on Jun's data,220.3177,384.1545,282.6681,210.7427,51.6781
90-days stock vol,1.06338,0.75577,0.98091,0.75277,1.92043
Trading volume,106.1780419,358.6329832,551.713101,162.4565884,6.68581994
Total asset,59.5521,136.4855,147.4483,105.1596,74.015
Diluted EPS,-0.2187,-0.2684,-0.0596,-0.0398,-0.0795
Liability / assets,0.32616314,0.4029483,0.28294121,0.07929946,0.16933054
equity / assets,0.67383686,0.5970517,0.71705879,0.92070054,0.83066946
Cash / asset,0.1153511,0.12054467,0.12574306,0.2340918,0.04690941
Current ratio,1.09582998,1.91551846,2.15311726,4.38069698,1.26136823
Inventory / sales,0.05185401,0.0693306,0.16789483,0.02651836,0.05786552
Net debt/EBITDA,-2.42822654,-2.21148347,-0.87658082,14.81111259,-1.33777937
A/P / Sales,0.06682203,0.68339283,1.0901703,0.24355319,0.05959284
A/R / Sales,0.05261698,0.07803331,0.07853909,0.26386756,0.01998766
ROE,-1.34012819,-0.74293431,-0.11666892,-0.04913732,-0.11909177
ROA,-0.90302777,-0.4435702,-0.08365848,-0.04524076,-0.09892589
Sales/total assets,0.12104863,0.04781973,0.0358017,0.09104732,0.10950483
Net income margin,-7.46004134,-9.27588215,-2.33671788,-0.49689279,-0.90339297
EBIT/Sale,-0.63545438,-2.24257282,-2.22474379,-0.45806047,-0.09561999
EBITDA/Sale,-0.27580562,-1.6555227,-1.60425467,-0.15714659,0.31080814
EBITDA/ Assets,-0.03338589,-0.07916665,-0.05743505,-0.01430778,0.03403499
Total debt/ EBITDA,-5.88331154,-3.73415332,-3.06588969,-1.55004652,0.04049065
WC/ Asset,0.01200126,0.08519586,0.10225754,0.22776713,0.04372087
Price to book ratio,5.49031858,4.7141942,2.67351278,2.17663305,0.84054032
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.18763797,-0.45157385,0.05761844,-0.04639805,3.42702703
market cap based on Jun's data,227.1719,278.7563,451.8451,425.7364,441.8653
90-days stock vol,0.53934,0.5051,0.42318,0.61477,0.88582
Trading volume,340.5197656,456.3506643,799.0555661,1113.589061,733.7615431
Total asset,156.208,215.609,206.758,288.252,183.475
Diluted EPS,-1.57,-1.49,-1.17,-1.07,-0.68
Liability / assets,1.93241063,1.2568492,1.04515907,0.81822849,0.49090067
equity / assets,-0.93241063,-0.2568492,-0.04515907,0.18177151,0.50909933
Cash / asset,0.41083043,0.70505406,0.75234816,0.66719398,0.37426897
Current ratio,2.41252883,7.22235935,6.54119814,5.35738406,2.01674379
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,-2.16564312,-0.86976445,-0.06069043,-0.38123567,0.29300374
A/P / Sales,0.21330099,0.0710195,0.10765556,0.13836732,0.11435346
A/R / Sales,0.23980893,0.20893607,0.17872824,0.15310846,0.13881353
ROE,0.65585994,1.54341899,6.72057406,-1.09273609,-0.37602107
ROA,-0.61153078,-0.39642594,-0.30349491,-0.19862828,-0.19143208
Sales/total assets,0.25864872,0.18788641,0.21259153,0.14614643,0.25513558
Net income margin,-2.36432938,-2.10992348,-1.42759641,-1.35910461,-0.7503151
EBIT/Sale,-2.16763607,-2.08501605,-1.30073939,-1.10164503,-0.72275747
EBITDA/Sale,-2.02720095,-1.88007899,-1.12758503,-0.76611199,-0.37679178
EBITDA/ Assets,-0.52433294,-0.35324128,-0.23971503,-0.11196453,-0.09613299
Total debt/ EBITDA,-2.94917282,-2.86572044,-3.19920102,-6.34021194,-3.60023812
WC/ Asset,0.30977287,0.6781396,0.68402674,0.57300903,0.22273879
Price to book ratio,-1.55971095,-5.03361021,-48.39296348,8.12536071,4.73053733
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.00106838,-0.31277533,0.15228426,0.68616262,1.40893471
market cap based on Jun's data,721.3478,715.6337,1034.3791,846.5354,411.9742
90-days stock vol,0.76206,0.48259,0.47159,0.35001,0.47046
Trading volume,4789.27944,2802.68352,1978.964208,1657.833012,580.2487473
Total asset,1022.223,800.615,566.654,517.042,528.3
Diluted EPS,0.09,1.81,0.49,0.21,-1.86
Liability / assets,0.68710741,0.62308725,0.74004419,0.81036357,0.95518077
equity / assets,0.31289259,0.37691275,0.25995581,0.18963643,0.04481923
Cash / asset,0.13246425,0.08769259,0.2240856,0.27515366,0.27610827
Current ratio,1.13220095,1.29517281,1.60220537,1.61902494,1.34721986
Inventory / sales,0.07128739,0.07500103,0.08537707,0.07060716,0.08663376
Net debt/EBITDA,4.95842009,2.3636965,1.00322031,1.12686997,-54.67451923
A/P / Sales,0.09375209,0.04001545,0.02287854,0.01362434,0.02342751
A/R / Sales,0.07039534,0.03491377,0.03861888,0.02180742,0.01207406
ROE,0.02248582,0.45833471,0.25664438,0.17349312,-4.35374609
ROA,0.00703565,0.1727522,0.0667162,0.03290062,-0.19513155
Sales/total assets,1.24578003,1.70449954,2.24579726,1.96171297,2.15920878
Net income margin,0.00564758,0.10135069,0.02970713,0.01677137,-0.09037179
EBIT/Sale,0.02120435,0.04334964,0.0511013,0.04134033,-0.01515109
EBITDA/Sale,0.03695901,0.05649809,0.05953921,0.05140552,-0.00182343
EBITDA/ Assets,0.04604279,0.09630097,0.13371299,0.10084287,-0.00393716
Total debt/ EBITDA,7.83540135,3.2743061,2.67909039,3.85540852,-124.8033654
WC/ Asset,0.04116812,0.07491741,0.19776619,0.21114339,0.13910089
Price to book ratio,2.25529724,2.37151696,7.02202301,8.63371137,17.39902863
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,1.21921516,0.1231003,0.76407507,0.51502843,-0.21104916
market cap based on Jun's data,151.1752,67.3739,60.3583,30.7468,20.6626
90-days stock vol,0.3363,0.42878,0.52272,0.71887,1.1128
Trading volume,88.6305528,18.89749369,11.06889574,2.86317784,1.86394819
Total asset,102.661,72.753,58.831,42.582,39.679
Diluted EPS,0.11,0.52,0.42,0.32,0.45
Liability / assets,0.52145411,0.36156585,0.27689483,0.19651496,0.1939565
equity / assets,0.47854589,0.63843415,0.72310517,0.80348504,0.8060435
Cash / asset,0.03494024,0.04852034,0.07937992,0.24665352,0.15610272
Current ratio,1.49079888,2.57958063,3.24866016,4.96381182,4.92871108
Inventory / sales,0.26810122,0.24854423,0.24529927,0.2385574,0.22810696
Net debt/EBITDA,2.63531613,0.44434837,-0.34822384,-1.61113668,-0.81232787
A/P / Sales,0.03975225,0.04174971,0.03119151,0.01862043,0.01779212
A/R / Sales,0.01148652,0.00499121,0.00012395,0.001118,0.00422046
ROE,0.0197647,0.1016836,0.08669284,0.07707371,0.11934465
ROA,0.00945831,0.06491829,0.06268804,0.06192758,0.09619698
Sales/total assets,2.12937727,2.46196033,2.74273767,2.43663989,2.74089569
Net income margin,0.00444182,0.02636853,0.02285601,0.02541515,0.03509691
EBIT/Sale,0.01660537,0.04772911,0.04095861,0.04283085,0.04602964
EBITDA/Sale,0.04644929,0.07102699,0.06367828,0.0628295,0.07011107
EBITDA/ Assets,0.09890806,0.17486564,0.17465282,0.15309286,0.19216714
Total debt/ EBITDA,2.98857593,0.72182047,0.10627737,0,0
WC/ Asset,0.22004461,0.43488241,0.55628835,0.69451881,0.65833312
Price to book ratio,3.07716984,1.45052317,1.41882654,0.89866137,0.64604946
real GDP growth,0.02854972,0.03513208,0.03798898,0.02861203,0.01741697
Inflation,0.03225944,0.03392747,0.02677237,0.02270095,0.01586032
Unemployment,0.04616667,0.05066667,0.05533333,0.05991667,0.05775
10-year risk free,0.04791667,0.0429,0.04274167,0.04015,0.04610833
YoY % in stock price,-0.59185185,-0.18181818,-0.64818763,1.96835443,3.7734139
market cap based on Jun's data,41.5995,91.9003,108.8723,261.9426,62.0485
90-days stock vol,0.86868,0.64056,0.38805,0.51594,0.90426
Trading volume,103.789126,190.813455,259.570179,1068.242613,253.4950104
Total asset,63.195,31.856,53.719,42.644,16.376
Diluted EPS,-5.05,-3.8,-2.8,-3,-3.6
Liability / assets,0.98090039,0.20096685,0.09456617,0.15075978,0.27198339
equity / assets,0.01909961,0.79903315,0.90543383,0.84924022,0.72801661
Cash / asset,0.966817,0.97356856,0.98218507,0.97854329,0.95988031
Current ratio,8.32694384,5.13754525,11.18362178,6.93755149,3.91979397
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,0.21914948,1.14709472,2.69262567,2.56194745,1.34029673
A/P / Sales,16.90909091,48.04545455,37.17391304,2.06181818,9.58666667
A/R / Sales,1.13636364,0.40909091,1.34782609,0.04727273,0.072
ROE,-28.16321458,-0.99579634,-0.37091634,-0.44332459,-0.9929542
ROA,-0.53790648,-0.79567428,-0.33584021,-0.37648907,-0.72288715
Sales/total assets,0.00104439,0.00069061,0.00042815,0.00644874,0.02289936
Net income margin,-515.0454546,-1152.136364,-784.3913044,-58.38181818,-31.568
EBIT/Sale,-493.3484849,-1238.590909,-861.7826087,-60.00363636,-31.79466667
EBITDA/Sale,-471.7272727,-1228.954545,-851.9565217,-59.22909091,-31.27466667
EBITDA/ Assets,-0.49266556,-0.84872551,-0.36476852,-0.38195291,-0.71617
Total debt/ EBITDA,-1.74327102,0,0,0,0
WC/ Asset,0.85889706,0.78942742,0.89819245,0.84501923,0.72691744
Price to book ratio,34.46520298,3.6104463,2.23837456,7.23298633,5.20453783
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,-0.79317269,-0.25892857,-0.16934487,-0.27670988,0.55491194
market cap based on Jun's data,543.6276,1138.2776,1570.8229,2046.6017,2749.5302
90-days stock vol,0.98977,0.28634,0.20453,0.27237,0.29165
Trading volume,1120.783189,1116.772968,1402.722048,2168.941944,1014.526477
Total asset,3843.4351,2173.696,2333.325,2315.698,2249.333
Diluted EPS,-6.61,-0.43,0.59,0.58,-0.83
Liability / assets,0.83680245,0.48276668,0.45369848,0.40390198,0.45208468
equity / assets,0.16319747,0.51723332,0.54630152,0.59609802,0.54791532
Cash / asset,0.0521203,0.00172379,0.00180858,0.00040938,0.00154135
Current ratio,3.84486779,2.23786384,1.25945761,3.16535067,2.48655347
Inventory / sales,0,0,0,0,0
Net debt/EBITDA,9.95443565,4.66158009,3.91152194,4.10358518,4.86551179
A/P / Sales,0.15847571,0.09411683,0.01501285,0.07792075,0.07138185
A/R / Sales,0.27589867,0.17982584,0.17869909,0.18203866,0.20527632
ROE,-2.04903746,-0.04270538,0.05472429,0.05401979,-0.07267673
ROA,-0.33439774,-0.02208865,0.02989596,0.03220109,-0.03982069
Sales/total assets,0.1872692,0.19916768,0.17996079,0.17769804,0.16516407
Net income margin,-1.78565266,-0.11090477,0.16612488,0.18121241,-0.24109779
EBIT/Sale,0.27324917,0.32068233,0.34148038,0.14134801,-0.01066731
EBITDA/Sale,0.31587188,0.35934909,0.39469692,0.38745064,0.36794802
EBITDA/ Assets,0.05915307,0.07157073,0.07102997,0.06884922,0.06077179
Total debt/ EBITDA,10.8355446,4.68566525,3.93698412,4.10953122,4.89087464
WC/ Asset,0.0844289,0.0232038,0.00942646,0.03019824,0.02319843
Price to book ratio,0.86669943,1.01242507,1.23230888,1.48263323,2.23095751
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,0.23728814,-0.34004474,-0.76523109,1.72,3.21686747
market cap based on Jun's data,186.2504,133.7459,202.6591,779.1625,284.1629
90-days stock vol,0.52855,0.41318,0.82743,0.74135,0.63664
Trading volume,154.8571411,277.1361865,1214.027415,6009.562832,682.661196
Total asset,156.367,148.199,125.537,109.204,69.304
Diluted EPS,0.12,-0.12,-0.63,-0.23,-0.11
Liability / assets,0.80444083,0.8611934,0.97807021,0.81028167,0.58902805
equity / assets,0.19555917,0.1388066,0.02192979,0.18971833,0.41097195
Cash / asset,0.00136218,0.00119434,0.01022009,0.00456027,0.00636327
Current ratio,1.30562784,1.15262352,1.01312448,1.71256917,3.66814426
Inventory / sales,0.13575606,0.12675862,0.07807929,0.11862813,0.14537129
Net debt/EBITDA,0.75583094,0.51373404,3.18925831,1.78274569,59.69873418
A/P / Sales,0.04805546,0.06936503,0.02871688,0.02483585,0.04672078
A/R / Sales,0.07838003,0.14988686,0.11946641,0.14715647,0.16264082
ROE,0.20294974,-0.25871372,-10.22157646,-0.44140361,-0.13956183
ROA,0.03968868,-0.03591117,-0.22415702,-0.08374235,-0.057356
Sales/total assets,2.05155819,1.71462021,2.736731,2.95113732,2.97782235
Net income margin,0.01934563,-0.0209441,-0.08190685,-0.0283763,-0.01926105
EBIT/Sale,0.06417162,0.06065209,0.0107259,0.05960109,-0.0008189
EBITDA/Sale,0.06615731,0.06318254,0.01251888,0.06204309,0.00191399
EBITDA/ Assets,0.13572557,0.10833406,0.03426082,0.18309769,0.00569953
Total debt/ EBITDA,0.76586722,0.52475864,3.48756103,1.80765191,60.81518987
WC/ Asset,0.22307136,0.13056093,0.01268152,0.40565364,0.70349475
Price to book ratio,6.09079434,6.50167226,73.6139121,37.60799788,9.97692929
real GDP growth,0.01876176,0.02854972,0.03513208,0.03798898,0.02861203
Inflation,0.02852673,0.03225944,0.03392747,0.02677237,0.02270095
Unemployment,0.04616667,0.04616667,0.05066667,0.05533333,0.05991667
10-year risk free,0.04629167,0.04791667,0.0429,0.04274167,0.04015
YoY % in stock price,0.00900901,-0.53230337,-0.24894515,0.23598435,0.19099379
market cap based on Jun's data,123.3631,130.6179,275.2336,280.298,222.7913
90-days stock vol,1.82506,0.55297,0.51251,0.3991,0.44911
Trading volume,233.7980803,348.5728216,884.9598018,394.0716268,136.2186324
Total asset,507.81,647.256,716.646,494.043,449.159
Diluted EPS,-3.48,-1.81,-0.22,0.44,-0.37
Liability / assets,0.84174593,0.6611897,0.6238352,0.62569857,0.62407744
equity / assets,0.15825407,0.3388103,0.3761648,0.37430143,0.37592256
Cash / asset,0.01048227,0.02294301,0.01228501,0.04787842,0.08840299
Current ratio,1.61176425,1.91095997,1.60776061,1.71577064,2.4344438
Inventory / sales,0.04344172,0.04050371,0.0463645,0.04113054,0.04012274
Net debt/EBITDA,8.57034947,3.91365537,3.91950382,3.58580728,3.98767083
A/P / Sales,0.0608778,0.05991518,0.06833811,0.08537058,0.07292609
A/R / Sales,0.13293022,0.12765815,0.14984146,0.15226829,0.13610167
ROE,-1.64809676,-0.31464635,-0.03000998,0.0682021,-0.06241672
ROA,-0.26081802,-0.10660542,-0.0112887,0.02552814,-0.02346385
Sales/total assets,1.48539414,1.24186257,1.0165549,1.1651921,1.11450288
Net income margin,-0.17558843,-0.08584317,-0.01110486,0.02190896,-0.0210532
EBIT/Sale,0.00686731,0.05177886,0.07249317,0.06258262,0.05538076
EBITDA/Sale,0.04650947,0.09016762,0.10313379,0.08619225,0.08068895
EBITDA/ Assets,0.06908489,0.11197579,0.10484116,0.10043053,0.08992807
Total debt/ EBITDA,8.7220797,4.11854795,4.03668113,4.06253905,4.97071202
WC/ Asset,0.12501526,0.13615787,0.09026353,0.12711647,0.19958856
Price to book ratio,1.53507335,0.59562101,1.02098324,1.5157716,1.31947065
real GDP growth,-0.0013658,0.01876176,0.02854972,0.03513208,0.03798898
Inflation,0.038391,0.02852673,0.03225944,0.03392747,0.02677237
Unemployment,0.05775,0.04616667,0.04616667,0.05066667,0.05533333
10-year risk free,0.03666667,0.04629167,0.04791667,0.0429,0.04274167
YoY % in stock price,0.25,-0.69309463,1.83333333,-0.63874346,-0.49066667
market cap based on Jun's data,129.6301,56.0744,118.6376,41.0205,87.0949
90-days stock vol,1.23416,0.73618,0.757,1.32618,1.79246
Trading volume,288.62502,71.4217536,133.8991777,63.35153028,67.24187852
Total asset,95.1928,23.6658,42.0058,57.7969,60.998
Diluted EPS,-0.64,-0.96,-1.38,-1.2,-1.5
Liability / assets,0.24437037,0.93705262,0.71736998,0.42311785,0.34852946
equity / assets,0.75562963,0.06294738,0.28262764,0.57688215,0.65147054
Cash / asset,0.78537347,0.08246922,0.36612801,0.50921589,0.49267025
Current ratio,8.55654325,0.61461785,1.12675738,3.28840616,1.70440691
Inventory / sales,0.03782092,0.06578557,0.43185598,0.01302848,0.01582145
Net debt/EBITDA,2.49770815,0.05472834,0.21452934,0.9314415,0.89604689
A/P / Sales,0.33819608,0.15873077,0.47515799,0.10010268,0.34219053
A/R / Sales,0.04814907,0.06577601,0.06309247,0.04492008,0.018137
ROE,-0.57805521,-28.36101228,-3.53691038,-0.98940076,-0.85571387
ROA,-0.43679564,-1.78525129,-0.99962862,-0.57076764,-0.55747238
Sales/total assets,0.09296501,0.44184857,0.11451752,0.29149833,0.18620283
Net income margin,-4.69849485,-4.04041428,-8.7290454,-1.95804769,-2.99389857
